Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration,Permeability,FOS
25,15,30,30,20,0.001,1.856
25,15,30,30,24,0.001,1.856
25,15,30,60,0,0.001,1.888
25,15,30,60,1,0.001,1.878
25,15,30,60,2,0.001,1.871
25,15,30,60,3,0.001,1.864
25,15,30,60,4,0.001,1.858
25,15,30,60,8,0.001,1.840
25,15,30,60,12,0.001,1.836
25,15,30,60,16,0.001,1.836
25,15,30,60,20,0.001,1.836
25,15,30,60,24,0.001,1.835
25,20,30,10,0,0.001,2.161
25,20,30,10,1,0.001,2.16
25,20,30,10,2,0.001,2.159
25,20,30,10,3,0.001,2.159
25,20,30,10,4,0.001,2.158
25,20,30,10,8,0.001,2.155
25,20,30,10,12,0.001,2.153
25,20,30,10,16,0.001,2.151
25,20,30,10,20,0.001,2.15
25,20,30,10,24,0.001,2.149
25,20,30,30,0,0.001,2.161
25,20,30,30,1,0.001,2.158
25,20,30,30,2,0.001,2.155
25,20,30,30,3,0.001,2.153
25,20,30,30,4,0.001,2.15
25,20,30,30,8,0.001,2.143
25,20,30,30,12,0.001,2.137
25,20,30,30,16,0.001,2.135
25,20,30,30,20,0.001,2.135
25,20,30,30,24,0.001,2.135
25,20,30,60,0,0.001,2.161
25,20,30,60,1,0.001,2.154
25,20,30,60,2,0.001,2.148
25,20,30,60,3,0.001,2.142
25,20,30,60,4,0.001,2.137
25,20,30,60,8,0.001,2.119
25,20,30,60,12,0.001,2.115
25,20,30,60,16,0.001,2.115
25,20,30,60,20,0.001,2.115
25,20,30,60,24,0.001,2.115
30,0,30,10,0,0.001,1.159
30,0,30,10,1,0.001,1.153
30,0,30,10,2,0.001,1.149
30,0,30,10,3,0.001,1.146
30,0,30,10,4,0.001,1.144
30,0,30,10,8,0.001,1.141
30,0,30,10,12,0.001,1.139
30,0,30,10,16,0.001,1.138
30,0,30,10,20,0.001,1.137
30,0,30,10,24,0.001,1.136
30,0,30,30,0,0.001,1.159
30,0,30,30,1,0.001,1.141
30,0,30,30,2,0.001,1.132
30,0,30,30,3,0.001,1.126
30,0,30,30,4,0.001,1.122
30,0,30,30,8,0.001,1.113
30,0,30,30,12,0.001,1.104
30,0,30,30,16,0.001,1.1
30,0,30,30,20,0.001,1.099
30,0,30,30,24,0.001,1.099
30,0,30,60,0,0.001,1.159
30,0,30,60,1,0.001,1.124
30,0,30,60,2,0.001,1.101
30,0,30,60,3,0.001,1.088
30,0,30,60,4,0.001,1.078
30,0,30,60,8,0.001,1.047
30,0,30,60,12,0.001,1.037
30,0,30,60,16,0.001,1.036
30,0,30,60,20,0.001,1.036
30,0,30,60,24,0.001,1.036
30,5,30,10,0,0.001,1.536
30,5,30,10,1,0.001,1.532
30,5,30,10,2,0.001,1.53
30,5,30,10,3,0.001,1.528
30,5,30,10,4,0.001,1.527
30,5,30,10,8,0.001,1.522
30,5,30,10,12,0.001,1.517
30,5,30,10,16,0.001,1.512
30,5,30,10,20,0.001,1.509
30,5,30,10,24,0.001,1.507
30,5,30,30,0,0.001,1.536
30,5,30,30,1,0.001,1.527
30,5,30,30,2,0.001,1.522
30,5,30,30,3,0.001,1.517
30,5,30,30,4,0.001,1.512
30,5,30,30,8,0.001,1.497
30,5,30,30,12,0.001,1.488
30,5,30,30,16,0.001,1.485
30,5,30,30,20,0.001,1.485
30,5,30,30,24,0.001,1.485
30,5,30,60,0,0.001,1.536
30,5,30,60,1,0.001,1.520
30,5,30,60,2,0.001,1.507
30,5,30,60,3,0.001,1.497
30,5,30,60,4,0.001,1.487
30,5,30,60,8,0.001,1.463
30,5,30,60,12,0.001,1.458
30,5,30,60,16,0.001,1.458
30,5,30,60,20,0.001,1.458
30,5,30,60,24,0.001,1.458
30,10,30,10,0,0.001,1.85
30,10,30,10,1,0.001,1.848
30,10,30,10,2,0.001,1.846
30,10,30,10,3,0.001,1.845
30,10,30,10,4,0.001,1.844
30,10,30,10,8,0.001,1.841
30,10,30,10,12,0.001,1.838
30,10,30,10,16,0.001,1.836
30,10,30,10,20,0.001,1.833
30,10,30,10,24,0.001,1.832
30,10,30,30,0,0.001,1.85
30,10,30,30,1,0.001,1.844
30,10,30,30,2,0.001,1.84
30,10,30,30,3,0.001,1.837
30,10,30,30,4,0.001,1.834
30,10,30,30,8,0.001,1.823
30,10,30,30,12,0.001,1.814
30,10,30,30,16,0.001,1.811
30,10,30,30,20,0.001,1.811
30,10,30,30,24,0.001,1.811
30,10,30,60,0,0.001,1.850
30,10,30,60,1,0.001,1.838
30,10,30,60,2,0.001,1.830
30,10,30,60,3,0.001,1.823
30,10,30,60,4,0.001,1.814
30,10,30,60,8,0.001,1.788
30,10,30,60,12,0.001,1.783
30,10,30,60,16,0.001,1.783
30,10,30,60,20,0.001,1.783
30,10,30,60,24,0.001,1.783
30,15,30,10,0,0.001,2.135
30,15,30,10,1,0.001,2.132
30,15,30,10,2,0.001,2.131
30,15,30,10,3,0.001,2.13
30,15,30,10,4,0.001,2.129
30,15,30,10,8,0.001,2.125
30,15,30,10,12,0.001,2.122
30,15,30,10,16,0.001,2.12
30,15,30,10,20,0.001,2.118
30,15,30,10,24,0.001,2.116
30,15,30,30,0,0.001,2.135
30,15,30,30,1,0.001,2.129
30,15,30,30,2,0.001,2.125
30,15,30,30,3,0.001,2.121
30,15,30,30,4,0.001,2.118
30,15,30,30,8,0.001,2.108
30,15,30,30,12,0.001,2.1
30,15,30,30,16,0.001,2.098
30,15,30,30,20,0.001,2.098
30,15,30,30,24,0.001,2.098
30,15,30,60,0,0.001,2.135
30,15,30,60,1,0.001,2.123
30,15,30,60,2,0.001,2.114
30,15,30,60,3,0.001,2.107
30,15,30,60,4,0.001,2.100
30,15,30,60,8,0.001,2.079
30,15,30,60,12,0.001,2.074
30,15,30,60,16,0.001,2.073
30,15,30,60,20,0.001,2.073
30,15,30,60,24,0.001,2.073
30,20,30,10,0,0.001,2.416
30,20,30,10,1,0.001,2.414
30,20,30,10,2,0.001,2.413
30,20,30,10,3,0.001,2.411
30,20,30,10,4,0.001,2.41
30,20,30,10,8,0.001,2.406
30,20,30,10,12,0.001,2.403
